longitude,latitude,RA[deg],RA[hrs],Dec[deg],Number
122.12069818308427,-20.69973061204266,11.145,0.7430000000000001,41.8927989,42
120.10429811138943,-67.99220162683989,11.1604167,0.7440277800000002,-5.4166664,39
120.24065443806906,-70.0129830841933,11.2991667,0.7532777800000002,-7.4333331,35
122.51244513438077,-20.394828622712335,11.6330833,0.7755388866666667,42.2028989,44
122.51763461489739,-20.41109187190611,11.6398708,0.7759913866666669,42.1866858,44
123.22957640480163,-27.843411701646577,12.4970833,0.8331388866666668,34.7561964,16
123.22957640480163,-27.843411701646577,12.4970833,0.8331388866666668,34.7561964,16
123.4854719780265,-35.23391356734778,12.6965,0.8464333333333335,27.3644436,41
124.53410828393346,-61.60296931962063,12.9796333,0.8653088866666668,0.9883519,13
124.55685603126885,-61.60004189036652,12.9905208,0.8660347200000003,0.9910194,15
