Z, ELEMENT, PHOTO, PHOTO_ERR, METEOR, METEOR_ERR, BEST, ERR
72, Hf, 0.85, 0.05,  0.71, 0.01,  0.85, 0.05
73, Ta, -30., -30., -0.15, 0.04, -0.15, 0.04
74, W,  0.79, 0.11,  0.65, 0.04,  0.79, 0.11
75, Re, -30., -30.,  0.26, 0.02,  0.26, 0.02
76, Os, 1.35, 0.12,  1.35, 0.02,  1.35, 0.12
77, Ir, -30., -30.,  1.32, 0.02,  1.32, 0.02
78, Pt, -30., -30.,  1.61, 0.02,  1.61, 0.02
79, Au, 0.91, 0.12,  0.81, 0.05,  0.91, 0.12  
80, Hg, -30., -30.,  1.17, 0.18,  1.17, 0.18
81, Tl, 0.92, 0.17,  0.77, 0.05,  0.92, 0.17
82, Pb, 1.95, 0.08,  2.03, 0.03,  1.95, 0.08
83, Bi, -30., -30.,  0.65, 0.04,  0.65, 0.04
90, Th, 0.03, 0.10,  0.04, 0.03,  0.03, 0.10
92, U,  -30., -30., -0.54, 0.03, -0.54, 0.03
100,Xinit, -30.,-30.,-30,-30,  0.7121,  -30.
101,Yinit, -30.,-30.,-30,-30,  0.2725,  -30.
102,Zinit, -30.,-30.,-30,-30,  0.0154,  -30.
103,Xphoto,-30.,-30.,-30,-30,  0.7438,  -30.
104,Yphoto,-30.,-30.,-30,-30,  0.2423,  -30.
105,Zphoto,-30.,-30.,-30,-30,  0.0139,  -30.
